clr,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13
O1,0.796064401,0.169946333,0.476446035,0.796064401,0.67561121,0.55515802,0.288610614,0.288610614,0,0.67561121,0.476446035,0,0.172331544
C3,0.67561121,0.169946333,0.635658915,0.796064401,0.67561121,0.55515802,0.288610614,0.288610614,1,0.67561121,0.476446035,0.67561121,1
C1,0.67561121,0.774001193,0.476446035,1,0.67561121,0.612999404,0.774001193,0.774001193,0.333929636,0.67561121,0.476446035,0.67561121,1
C2,0.67561121,0.774001193,0.476446035,0.796064401,0.67561121,0.55515802,0.288610614,0.774001193,0.333929636,0.67561121,0.476446035,0.67561121,0.172331544
C4,0.796064401,0.169946333,0.635658915,0.796064401,0.67561121,0.55515802,0.288610614,0.774001193,1,0.635658915,0.55515802,0.635658915,0.635658915
C5,0.635658915,0.169946333,0.635658915,0.796064401,0.172331544,0,0.774001193,0.774001193,1,0.635658915,0.476446035,0.635658915,0.635658915
C19,0.67561121,0.635658915,0.635658915,1,0.635658915,0.612999404,0.635658915,0.774001193,0.333929636,0.476446035,0.476446035,0.67561121,0.172331544
C10,0.635658915,0.635658915,0.635658915,1,0.67561121,0.612999404,0.774001193,0.774001193,0.333929636,0.476446035,0.476446035,0.67561121,1
C6,0.333929636,0.169946333,0.635658915,0.796064401,0.172331544,0,0.774001193,0.774001193,1,0.635658915,0.55515802,0.635658915,0.635658915
C7,0.333929636,0.774001193,0.635658915,0.169946333,0.635658915,0,0.774001193,0.774001193,1,0.476446035,0.55515802,0.635658915,1
C8,0.635658915,0.635658915,0.635658915,0.169946333,0.796064401,0,0.774001193,0.774001193,1,0.476446035,0.476446035,0.635658915,1
C9,0.635658915,0.635658915,0.635658915,0.169946333,0.796064401,0.612999404,0.774001193,0.774001193,0.333929636,0.476446035,0.476446035,0.67561121,1
C11,0.635658915,0.635658915,0.635658915,0.635658915,0.796064401,0.774001193,0.635658915,0.774001193,0.333929636,0.476446035,0.476446035,0.67561121,1
C12,0.635658915,0.635658915,0.635658915,0.635658915,0,0.774001193,0.635658915,0.288610614,0.476446035,0,0.476446035,0.67561121,1
C13,1,0.635658915,0.635658915,0.169946333,0.796064401,0.774001193,0.635658915,0.288610614,0.476446035,0.476446035,0.796064401,1,1
C14,0.288610614,0.774001193,0.635658915,0.169946333,0.796064401,0,0.774001193,0.774001193,1,0.476446035,0.796064401,1,1
C15,0.288610614,0.774001193,0.635658915,0.169946333,0.796064401,0,0.774001193,0.635658915,1,0.476446035,0.796064401,1,1
C16,0.288610614,0.774001193,0.796064401,0.169946333,0.612999404,0,0.635658915,0.635658915,0.635658915,0.476446035,0.796064401,0.169946333,1
C17,1,0.774001193,0.796064401,0.635658915,0.796064401,0.774001193,0.635658915,0.635658915,0.476446035,0.476446035,0.796064401,1,1
C18,1,0.635658915,0.635658915,0.635658915,0.796064401,0.774001193,0.635658915,0.288610614,0.476446035,0.476446035,0.796064401,1,1
C20,1,0.774001193,0.796064401,0.635658915,0.796064401,0.774001193,0.635658915,0.635658915,0.476446035,0.476446035,0.796064401,0.635658915,0.635658915
C21,1,0.774001193,0.796064401,0.774001193,0.796064401,0.774001193,0.313655337,0.774001193,0.476446035,0,0,0.635658915,0.635658915
C22,1,0.774001193,0.796064401,0.635658915,0.612999404,0,0.635658915,0.635658915,0.476446035,0,0.774001193,0.169946333,0.635658915
C23,1,0.635658915,0.796064401,0.635658915,0.612999404,0.774001193,0.635658915,0.635658915,0.476446035,0.476446035,0.774001193,0.169946333,0.635658915
C24,1,0.635658915,0.796064401,0.774001193,0.612999404,0,0.635658915,0.635658915,0.169946333,0.476446035,0.774001193,0.635658915,0.635658915
C25,0.476446035,0.635658915,0.635658915,0.172331544,0.612999404,0.774001193,0.635658915,0.635658915,0.333929636,0.476446035,0.774001193,0.635658915,0.635658915
C26,0.635658915,0.635658915,0.635658915,0.774001193,0.333929636,0.774001193,0.635658915,0.635658915,0.774001193,0,0.774001193,0.774001193,0.635658915
C27,0.476446035,0.635658915,0.635658915,0.635658915,0,0.774001193,0.635658915,0.635658915,0.333929636,0.476446035,0.774001193,0.635658915,0.635658915
